Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,09/01/2021,66,"R$10,00","R$660,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,16/12/2022,2,"R$5,00","R$10,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,03/08/2022,4,"R$8,00","R$32,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,19/06/2021,1,"R$20,00","R$20,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,06/03/2022,4,"R$7,00","R$28,00"
Restaurante Bodogami,CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,24/07/2022,4,"R$8,00","R$32,00"
Restaurante Bodogami,ICED TEA,BEBIDAS,16/07/2022,11,"R$8,00","R$88,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,12/09/2021,2,"R$7,00","R$14,00"
Restaurante Bodogami,JAIPUR,CAFE AUTORAIS,27/11/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,FRAPPE POCAO DO AMOR,BEBIDAS,13/02/2021,5,"R$17,00","R$85,00"
Restaurante Bodogami,CERVEJA ORIGINAL,BEBIDAS CERVEJAS,18/03/2023,6,"R$9,00","R$54,00"
Restaurante Bodogami,ESPRESSO DUPLO,CAFE CLASSICOS,23/02/2023,1,"R$9,00","R$9,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,20/01/2022,3,"R$7,00","R$21,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,27/01/2022,5,"R$5,00","R$25,00"
Restaurante Bodogami,COCADA FRESH,DRINKS NAO ALCOOLICOS,06/02/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,22/12/2021,14,"R$7,00","R$98,00"
Restaurante Bodogami,CHA QUENTE GENMAICHA,BEBIDAS,16/09/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,SPACE CHAI,DRINKS NAO ALCOOLICOS,02/04/2023,1,"R$15,00","R$15,00"
Restaurante Bodogami,GRANDE CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,28/01/2023,3,"R$15,00","R$45,00"
Restaurante Bodogami,FRAPPE MOCHA,CAFE CLASSICOS,14/02/2023,1,"R$18,00","R$18,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,21/07/2022,2,"R$7,00","R$14,00"
Restaurante Bodogami,GRANDE ICED MOCHA,CAFE CLASSICOS,23/10/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,CERVEJA MANIACS WITBIER,BEBIDAS CERVEJAS,26/04/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,SAQUE FRESH,DRINKS ALCOOLICOS,08/02/2022,1,"R$20,00","R$20,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,16/01/2021,15,"R$15,00","R$225,00"
Restaurante Bodogami,ORANGE COFFEE,CAFE AUTORAIS,14/03/2023,1,"R$14,00","R$14,00"
Restaurante Bodogami,CHOCOLATE GELADO,CAFE CLASSICOS,14/09/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,CAPPUCCINO GELADO,CAFE CLASSICOS,06/02/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,31/07/2022,5,"R$25,00","R$125,00"
Restaurante Bodogami,ICED CARAMELO MACCHIATO,CAFE AUTORAIS,15/12/2022,6,"R$9,00","R$54,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,18/12/2022,42,"R$8,00","R$336,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,12/08/2022,3,"R$5,00","R$15,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,25/02/2021,2,"R$5,00","R$10,00"
Restaurante Bodogami,CAIPIRINHA,DRINKS ALCOOLICOS,08/05/2022,3,"R$18,00","R$54,00"
Restaurante Bodogami,SAQUE FRESH,DRINKS ALCOOLICOS,09/04/2023,3,"R$20,00","R$60,00"
Restaurante Bodogami,FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,01/05/2022,7,"R$21,00","R$147,00"
Restaurante Bodogami,GRANDE MOCHA,CAFE CLASSICOS,15/01/2022,1,"R$15,00","R$15,00"
